estimator,lib,function,mean,stdev,n_samples,n_features,hyperparams_digest,dims_digest,init,max_iter,n_clusters,n_init,tol,n_iter,adjusted_rand_score
KMeans,daal4py,predict,0.0038854091000303016,0.010928883388461218,1000,2,9629e038afdd78d46e79e8e018cd76f2,ebe3c5ddf180ac6a272cdd05c473421f,random,30,10,1,1e-16,,0.001473305986178414
KMeans,daal4py,predict,0.0037715840000373648,0.010772639497742762,1,2,9629e038afdd78d46e79e8e018cd76f2,ad6352385cc5e69d5c24fad28c7fd226,random,30,10,1,1e-16,,0.001473305986178414
KMeans,daal4py,fit,0.08460581039998942,0.011715116544762316,10000,2,d463043c0302964ab610a3481bef7f8e,d20d008faefbbe0f931b8b798b404983,random,30,300,1,1e-16,30.0,
KMeans,daal4py,predict,0.0042777162000220414,0.010766845532521326,1000,2,d463043c0302964ab610a3481bef7f8e,ebe3c5ddf180ac6a272cdd05c473421f,random,30,300,1,1e-16,,0.002154404869543838
KMeans,daal4py,predict,0.0040169149000575995,0.010983948592309795,1,2,d463043c0302964ab610a3481bef7f8e,ad6352385cc5e69d5c24fad28c7fd226,random,30,300,1,1e-16,,0.002154404869543838
KMeans,daal4py,fit,0.027131790199973693,0.012599077710411468,10000,100,4ae9a7da314e5dc6c1fcf6ea6fda0e2a,7c1b7a5104d3fe0053bf0bbabfb80255,k-means++,30,3,1,1e-16,30.0,
KMeans,daal4py,predict,0.004082217399945876,0.011364894625127032,1000,100,4ae9a7da314e5dc6c1fcf6ea6fda0e2a,d78c808283c44fd8c479cfbd032dccee,k-means++,30,3,1,1e-16,,0.0007396525182075597
KMeans,daal4py,predict,0.00452372690001539,0.013022496341171051,1,100,4ae9a7da314e5dc6c1fcf6ea6fda0e2a,f2bb6b488fc39b14f2f89a65339c1be5,k-means++,30,3,1,1e-16,,0.0007396525182075597
KMeans,daal4py,fit,0.03894833430001654,0.013152948370997505,10000,100,acde85818fd0469c5a02db5b02d93d57,7c1b7a5104d3fe0053bf0bbabfb80255,k-means++,30,10,1,1e-16,30.0,
KMeans,daal4py,predict,0.004010744500010333,0.010847654095299992,1000,100,acde85818fd0469c5a02db5b02d93d57,d78c808283c44fd8c479cfbd032dccee,k-means++,30,10,1,1e-16,,0.0029895923246014366
KMeans,daal4py,predict,0.003905589800024245,0.010975144087932967,1,100,acde85818fd0469c5a02db5b02d93d57,f2bb6b488fc39b14f2f89a65339c1be5,k-means++,30,10,1,1e-16,,0.0029895923246014366
KMeans,daal4py,fit,0.6120353442000578,0.051162148635400584,10000,100,69eb8e74876d079894c936a9df45bcf6,7c1b7a5104d3fe0053bf0bbabfb80255,k-means++,30,300,1,1e-16,18.0,
KMeans,daal4py,predict,0.00506006020004861,0.010492353186223592,1000,100,69eb8e74876d079894c936a9df45bcf6,d78c808283c44fd8c479cfbd032dccee,k-means++,30,300,1,1e-16,,0.007311968330434008
KMeans,daal4py,predict,0.0038315968000006253,0.010808271085016235,1,100,69eb8e74876d079894c936a9df45bcf6,f2bb6b488fc39b14f2f89a65339c1be5,k-means++,30,300,1,1e-16,,0.007311968330434008
KMeans,daal4py,fit,0.025767020900002536,0.01285851682755586,10000,100,2c8c70ae910f9279aad5616efeae6be1,7c1b7a5104d3fe0053bf0bbabfb80255,random,30,3,1,1e-16,30.0,
KMeans,daal4py,predict,0.00404808610001055,0.011252829688214746,1000,100,2c8c70ae910f9279aad5616efeae6be1,d78c808283c44fd8c479cfbd032dccee,random,30,3,1,1e-16,,0.0008166527290564354
KMeans,daal4py,predict,0.004057146300010572,0.01161244583342649,1,100,2c8c70ae910f9279aad5616efeae6be1,f2bb6b488fc39b14f2f89a65339c1be5,random,30,3,1,1e-16,,0.0008166527290564354
KMeans,daal4py,fit,0.038228163099961424,0.012215342403794044,10000,100,9629e038afdd78d46e79e8e018cd76f2,7c1b7a5104d3fe0053bf0bbabfb80255,random,30,10,1,1e-16,30.0,
KMeans,daal4py,predict,0.004084987600003842,0.011212827191570348,1000,100,9629e038afdd78d46e79e8e018cd76f2,d78c808283c44fd8c479cfbd032dccee,random,30,10,1,1e-16,,0.0019221045110509836
KMeans,daal4py,predict,0.00408618779997596,0.011705518520052754,1,100,9629e038afdd78d46e79e8e018cd76f2,f2bb6b488fc39b14f2f89a65339c1be5,random,30,10,1,1e-16,,0.0019221045110509836
KMeans,daal4py,fit,0.2988496413999428,0.0405431133948532,10000,100,d463043c0302964ab610a3481bef7f8e,7c1b7a5104d3fe0053bf0bbabfb80255,random,30,300,1,1e-16,25.0,
KMeans,daal4py,predict,0.005365923900012603,0.011529036010594964,1000,100,d463043c0302964ab610a3481bef7f8e,d78c808283c44fd8c479cfbd032dccee,random,30,300,1,1e-16,,0.006535334023356829
KMeans,daal4py,predict,0.003992084100013926,0.011318034899543156,1,100,d463043c0302964ab610a3481bef7f8e,f2bb6b488fc39b14f2f89a65339c1be5,random,30,300,1,1e-16,,0.006535334023356829
