estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_time,stdev_time,throughput,latency,learning_rate,max_bin,min_data_in_leaf,n_estimators,num_leaves,accuracy_score
LGBMClassifier,fit,100000,100000,100,5cffcf5e41e2f5ced034960a7b186b92,cb16edecad38f292756cdc5794a48caa,52.18021864299999,0.0,0.0007665740205817636,0.0010436043728599999,0.05,255,20,1000,50,
LGBMClassifier,predict,100000,1000,100,5cffcf5e41e2f5ced034960a7b186b92,cb16edecad38f292756cdc5794a48caa,0.12983852800016393,0.0,0.006161499304728639,0.00012983852800016392,0.05,255,20,1000,50,0.798
LGBMClassifier,fit,100000,100000,100,a3b5526c0b1849989f849a429eafec6d,cb16edecad38f292756cdc5794a48caa,19.85747682400006,0.0,0.002014354610836326,0.00039714953648000117,0.05,64,10,1000,50,
LGBMClassifier,predict,100000,1000,100,a3b5526c0b1849989f849a429eafec6d,cb16edecad38f292756cdc5794a48caa,0.06857630700005757,0.0,0.01166583671528606,6.857630700005757e-05,0.05,64,10,1000,50,0.799
LGBMClassifier,fit,100000,100000,100,f68947334eef636f6a15504f0ab7875c,cb16edecad38f292756cdc5794a48caa,3.1854961809999622,0.0,0.012556913500189336,6.370992361999924e-05,0.1,64,10,30,30,
LGBMClassifier,predict,100000,1000,100,f68947334eef636f6a15504f0ab7875c,cb16edecad38f292756cdc5794a48caa,0.005571508999764774,0.0,0.14358767077891746,5.571508999764773e-06,0.1,64,10,30,30,0.781
LGBMClassifier,fit,100000,100000,100,f37d2735c75d73b3a7314f78a9ff716b,cb16edecad38f292756cdc5794a48caa,19.492330262999985,0.0,0.002052089178682106,0.0003898466052599997,0.01,32,10,300,20,
LGBMClassifier,predict,100000,1000,100,f37d2735c75d73b3a7314f78a9ff716b,cb16edecad38f292756cdc5794a48caa,0.06098549100033779,0.0,0.013117874216927578,6.0985491000337786e-05,0.01,32,10,300,20,0.759
LGBMClassifier,fit,100000,100000,100,870794dcfa5e4dae2331ffc8759f7f9f,cb16edecad38f292756cdc5794a48caa,2.3965543700001035,0.0,0.016690629055078884,4.793108740000207e-05,0.1,255,10,30,5,
LGBMClassifier,predict,100000,1000,100,870794dcfa5e4dae2331ffc8759f7f9f,cb16edecad38f292756cdc5794a48caa,0.0031924780000736064,0.0,0.2505890408584037,3.1924780000736065e-06,0.1,255,10,30,5,0.681
LGBMClassifier,fit,100000,100000,100,6851e9e6180438fe72352fb4486d1a56,cb16edecad38f292756cdc5794a48caa,2.159252273999755,0.0,0.01852493128369147,4.3185045479995096e-05,1.0,128,1000,300,20,
LGBMClassifier,predict,100000,1000,100,6851e9e6180438fe72352fb4486d1a56,cb16edecad38f292756cdc5794a48caa,0.002043513999979041,0.0,0.39148251492683933,2.043513999979041e-06,1.0,128,1000,300,20,0.758
LGBMClassifier,fit,100000,100000,100,0a7142bb5c9897035c25590e9a93fbf3,cb16edecad38f292756cdc5794a48caa,2.0637817649999306,0.0,0.01938189428667684,4.127563529999861e-05,0.5,64,100,30,20,
LGBMClassifier,predict,100000,1000,100,0a7142bb5c9897035c25590e9a93fbf3,cb16edecad38f292756cdc5794a48caa,0.0023778320000928943,0.0,0.3364409260068611,2.3778320000928945e-06,0.5,64,100,30,20,0.78
LGBMClassifier,fit,100000,100000,100,3d9735d9246f9aa7bbc68d4b4187ec05,cb16edecad38f292756cdc5794a48caa,2.8274606489999314,0.0,0.01414696965425423,5.654921297999863e-05,1.0,255,20,300,2,
LGBMClassifier,predict,100000,1000,100,3d9735d9246f9aa7bbc68d4b4187ec05,cb16edecad38f292756cdc5794a48caa,0.003252176999922085,0.0,0.24598907132642725,3.2521769999220852e-06,1.0,255,20,300,2,0.63
LGBMClassifier,fit,100000,100000,100,b557e729120ee94eda8e0c483ad8c44f,cb16edecad38f292756cdc5794a48caa,1.768999335999979,0.0,0.022611653484532725,3.537998671999958e-05,1.0,64,10,100,50,
LGBMClassifier,predict,100000,1000,100,b557e729120ee94eda8e0c483ad8c44f,cb16edecad38f292756cdc5794a48caa,0.001280870000300638,0.0,0.6245754837042237,1.280870000300638e-06,1.0,64,10,100,50,0.751
LGBMClassifier,fit,100000,100000,100,1cb463b84831b11cebd93ba8cfb0cb84,cb16edecad38f292756cdc5794a48caa,1.690431475999958,0.0,0.023662597726026368,3.380862951999916e-05,1.0,64,2,100,50,
LGBMClassifier,predict,100000,1000,100,1cb463b84831b11cebd93ba8cfb0cb84,cb16edecad38f292756cdc5794a48caa,0.0008392459999413404,0.0,0.9532365957727728,8.392459999413404e-07,1.0,64,2,100,50,0.719
LGBMClassifier,fit,100000,100000,100,c683d43592dcfabd813bb6c45e939407,cb16edecad38f292756cdc5794a48caa,4.100910553000176,0.0,0.00975393134842614,8.201821106000353e-05,0.5,128,200,300,5,
LGBMClassifier,predict,100000,1000,100,c683d43592dcfabd813bb6c45e939407,cb16edecad38f292756cdc5794a48caa,0.007315409000057116,0.0,0.10935820539818811,7.315409000057116e-06,0.5,128,200,300,5,0.762
LGBMClassifier,fit,100000,100000,100,223141440ddbba8604c89fa1ef13775c,cb16edecad38f292756cdc5794a48caa,20.196228743999654,0.0,0.0019805677835711822,0.0004039245748799931,0.05,255,20,300,20,
LGBMClassifier,predict,100000,1000,100,223141440ddbba8604c89fa1ef13775c,cb16edecad38f292756cdc5794a48caa,0.06284119200017813,0.0,0.012730503266038182,6.284119200017813e-05,0.05,255,20,300,20,0.779
LGBMClassifier,fit,100000,100000,100,a1f59b71b60f3b214cbd35a18f32c433,cb16edecad38f292756cdc5794a48caa,2.2230047500002,0.0,0.01799366375622742,4.4460095000004e-05,1.0,64,1000,1000,50,
LGBMClassifier,predict,100000,1000,100,a1f59b71b60f3b214cbd35a18f32c433,cb16edecad38f292756cdc5794a48caa,0.002142719999937981,0.0,0.3733572282067444,2.142719999937981e-06,1.0,64,1000,1000,50,0.767
LGBMClassifier,fit,100000,100000,100,c58865d9129519b43b3fabc653e18b4c,cb16edecad38f292756cdc5794a48caa,4.352165876000072,0.0,0.009190826163262564,8.704331752000143e-05,0.05,255,1000,100,3,
LGBMClassifier,predict,100000,1000,100,c58865d9129519b43b3fabc653e18b4c,cb16edecad38f292756cdc5794a48caa,0.0075323189998925955,0.0,0.10620899088466744,7.5323189998925956e-06,0.05,255,1000,100,3,0.637
LGBMClassifier,fit,100000,100000,100,12ee20d94e792e22da334181796fb054,cb16edecad38f292756cdc5794a48caa,2.3700683189999836,0.0,0.016877150620230822,4.740136637999967e-05,1.0,255,100,300,5,
LGBMClassifier,predict,100000,1000,100,12ee20d94e792e22da334181796fb054,cb16edecad38f292756cdc5794a48caa,0.002766053999948781,0.0,0.2892206732098555,2.766053999948781e-06,1.0,255,100,300,5,0.742
LGBMClassifier,fit,100000,100000,100,a7cb325b4e476ffcde7c7a0810e29bca,cb16edecad38f292756cdc5794a48caa,36.21851767399994,0.0,0.0011044074293718171,0.0007243703534799989,0.05,255,2,300,50,
LGBMClassifier,predict,100000,1000,100,a7cb325b4e476ffcde7c7a0810e29bca,cb16edecad38f292756cdc5794a48caa,0.08455799900002603,0.0,0.009460961818641827,8.455799900002602e-05,0.05,255,2,300,50,0.807
